Period,Airport A,Airport B
1/1/2016,2327392.1,2689246.8
2/1/2016,2190226.8,2489428.4
3/1/2016,2534155.6,2595478.5
4/1/2016,2720430.2,2542349.6
5/1/2016,3014644.2,2601304.9
6/1/2016,3087701.8,2676985.8
7/1/2016,3624011.2,3084908.1
8/1/2016,3667278.2,3127238.5
9/1/2016,3292890,2742736.6
10/1/2016,2984308.6,2742275.6
11/1/2016,2390786.1,2596329.9
12/1/2016,2568442.5,2862380.4
1/1/2017,2512430.1,2940695.4
2/1/2017,2277860.4,2648314.1
3/1/2017,2599919.6,2799562.2
4/1/2017,2965010.6,2772899.4
5/1/2017,3086981.9,2745427.6
6/1/2017,3089388.1,2817440.4
7/1/2017,3583623.6,3167058.5
8/1/2017,3614222.9,3221852.9
9/1/2017,3221686.5,2833097.8
10/1/2017,2901601.1,2899680.2
11/1/2017,2320841.5,2774900.6
12/1/2017,2468335,3010239.1
1/1/2018,2435877.7,3066767.8
2/1/2018,2236912.7,2782037.3
3/1/2018,2666637.2,3049400.9
4/1/2018,2826326.4,2940783
5/1/2018,3006353.1,2930875.7
6/1/2018,3278636.9,3003233
7/1/2018,3726956.1,3314140.7
8/1/2018,3747490.4,3365443.5
9/1/2018,3325351.9,2949236.8
10/1/2018,3037141.5,3043796.1
11/1/2018,2459970.9,2881278.4
12/1/2018,2566126.8,3084350.4
1/1/2019,2503296.9,3129286.1
2/1/2019,2350419.3,2825648.4
3/1/2019,2761344.2,3084418.7
4/1/2019,3119580.9,3043582
5/1/2019,3141331,3059409.6
6/1/2019,3497874.6,3126774.3
7/1/2019,3846865.7,3394991
8/1/2019,3918793,3428766.7
9/1/2019,3456875,2999928.2
10/1/2019,3188948.6,3097986.7
11/1/2019,2583273.3,2916789.1
12/1/2019,2701099.5,3183676.4
1/1/2020,2626459.6,3160503.4
2/1/2020,2341422.5,2351338.1
3/1/2020,1099409.5,1183724.5
4/1/2020,82374.9,99695.3
5/1/2020,91612.9,100807.8
6/1/2020,263860,175092.8
7/1/2020,767648.8,296139.7
8/1/2020,964914.5,356855.1
9/1/2020,651861.7,353125.3
10/1/2020,569412.9,394128.5
11/1/2020,345743.4,420643.5
12/1/2020,514289.7,530869.3
1/1/2021,516526,437871.1
2/1/2021,437166.8,358834.1
3/1/2021,518774.8,489388.6
4/1/2021,530693.9,548771.6
5/1/2021,652122.9,585388.7
6/1/2021,982948.8,601813.3
7/1/2021,1642525.2,730459.3
8/1/2021,1904620.4,858957.8
9/1/2021,1630080.4,800202.5
10/1/2021,1657609.7,896070.5
11/1/2021,1502448.4,992771.2
12/1/2021,1598812.4,1194101.9
1/1/2022,1297609.1,1089884.9
2/1/2022,1384141.3,906234.8
3/1/2022,1867740.3,1286848.4
4/1/2022,2207763.5,1465152.2
5/1/2022,2600184.5,1584172.5
6/1/2022,2905972.3,1715626.6
7/1/2022,3241313.5,2031848.8
8/1/2022,3253179.7,2072725.4
9/1/2022,2960054.5,1910289.4
10/1/2022,2812226.3,2068397.5
11/1/2022,2309541.4,2083115.9
12/1/2022,2380701.9,2225508
1/1/2023,2363882.4,2387226.8
2/1/2023,2222316.6,2209619.2
3/1/2023,2559350.3,2459712.8
4/1/2023,2834632.6,2471384.1
5/1/2023,3149495.8,2563761.8
6/1/2023,3390858.8,2636351.3
7/1/2023,3781482.6,2934122.4
8/1/2023,3806590.1,2980801.5
9/1/2023,3475579.8,2710182.4
10/1/2023,3344960.6,2865252.8
